id,day,slot,channel,pillar,title,hook,body,cta,url,utm_campaign,utm_content,visual_brief,compliance_footer,status,published_url,notes
fb-d01-0900,1,09:00,Page,台指期量化入門,台指期研究先看流程,研究不是先找策略，而是先定義流程。,"說明資料、策略、Paper Trading、風控、OMS 的順序。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d01-0900,五段流程圖,"Paper Only；不構成投資建議；ENABLE_LIVE_TRADING=false。",draft,,
fb-d01-1230,1,12:30,Group,TX / MTX / TMF 曝險換算,口數不同，曝險不一定不同,TX、MTX、TMF 要用等值曝險比較。,"介紹 TX-equivalent 概念與研究用途。","留言取得 Checklist",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d01-1230,曝險換算圖卡,"Paper Only；教育用途；不構成投資建議。",draft,,
fb-d01-1600,1,16:00,Page + Group,策略研究標準化,StrategySignal 只該輸出 signal,策略研究與下單意圖要分離。,"說明 StrategySignal -> PaperOrderIntent 的責任切分。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d01-1600,signal 到 intent 流程圖,"Paper Only；不構成投資建議；No broker。",draft,,
fb-d01-2030,1,20:30,related groups if allowed,社群問答與研究任務,你最想標準化哪一段？,資料、回測、Paper Trading、風控，哪段最容易亂？,"提出 4 個選項，邀請留言流程痛點。","加入研究社群",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d01-2030,投票圖卡,"先確認社團規則；不重複貼文；不構成投資建議。",draft,,
fb-d02-0900,2,09:00,Page,回測與換月資料,換月資料不是回測小細節,連續期貨資料與可交易價格要分開。,"說明 rollover event、data_version、研究資料邊界。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d02-0900,換月時間軸,"Paper Only；不構成投資建議。",draft,,
fb-d02-1230,2,12:30,Group,資料治理,你的回測資料有版本嗎？,沒有 data_version，回測很難被重現。,"分享資料版本、來源、清洗紀錄的基本欄位。","留言取得 Checklist",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d02-1230,資料表欄位圖,"教育用途；不收帳戶資料；不構成投資建議。",draft,,
fb-d02-1600,2,16:00,Page,回測與換月資料,continuous futures 的常見誤解,研究價格不等於下單價格。,"說明 continuous futures 可用於研究，但不能直接當成實際成交資料。","查看官網",https://taifex-quant-trading-platform-website-7rf8yy2zd.vercel.app/zh/,fb_growth_30d,fb-d02-1600,對照表,"Paper Only；不宣稱績效；不構成投資建議。",draft,,
fb-d02-2030,2,20:30,Group,社群問答與研究任務,本週資料任務：列出你的資料欄位,先看資料欄位，再談策略研究。,"邀請使用者列出資料來源、頻率、換月處理方式。","留言分享你的流程",https://www.facebook.com/groups/1323940496297459,fb_growth_30d,fb-d02-2030,問答卡,"不貼個人帳戶或委託資料；不構成投資建議。",draft,,
fb-d03-0900,3,09:00,Page,Web App Interactive Demo,打開瀏覽器就能跑 demo,不需要本地後端，也能體驗資料到 Paper order。,"介紹 Browser-only Demo 的 6 步流程。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d03-0900,Demo stepper 截圖,"Paper Only；不構成投資建議；ENABLE_LIVE_TRADING=false。",draft,,
fb-d03-1230,3,12:30,Group,Paper Trading,Generate market tick 怎麼看,模擬行情不是實際行情，但能訓練流程判讀。,"說明 bid/ask/spread/quote age 的展示目的。","開啟 Web App Demo",https://taifex-quant-trading-platform-front.vercel.app/?lang=zh,fb_growth_30d,fb-d03-1230,行情卡片,"deterministic mock data only；Paper Only。",draft,,
